Perrenet LeBeau
Galleren Corriveau
Poton Spanghero
Balthazar Sardou
Pasquier Boulle
Helyot Leroux
Perrotus Lecerf
Gillebert Regnard
Herbertus Gueguen
Gabriel Brosseau
Herle Arceneaux
Galterus Charbonneau
Simmonet Cailloux
Johannotus Seyrès
Raoulin Gicquel
Boutart Escoffier
Perrot Batteux
Lucas Chopin
Rolin Cahun
Rolet Bourseiller
Husson Abadie
Albert Barthélemy
Benard De Villepin
Gilbert Bouthillier
Lancelet Dubois
Arnulphus Cousteau
Aubertus Moitessier
Guerinet Lucroy
Michelet Bain
Heliot Carrel
Rogerin Lambert
Landricus Rémy
Barbedaurus Pinchon
Benard Dubost
Andreas Popelin
Petrus Lozé
Guillaume Bruneau
Innocent Édouard
Collinet Sharpe
Colart Philippon
Toussains Dubois
Elyot Moitessier
Aufondet Larousse
Martinus Lefeuvre
Jacotin Bessette
Brodier Lahaye
Charles Duhamel
Arnoul Chabert
Maciotus Carrell
Remon Berger
Yvo Chéron
Guion Lambert
Jaquot Dutertre
Jodoinus Lucroy
Herbin Béliveau
Felix Ménard
Michellet Jaccoud
Hemericus Thibodeaux
Vivien Thévenet
Pierre Chausson
Guimart Badeaux
Junien Chagnon
Moriset Laffitte
Rogerus Clair
Henriet Azaïs
Radulfus Ballesdens
Gyeffroy Simon
Poncelet Neri
Evrard Bélanger
Loyset Duhamel
Philippot Bardin
Jehannin Choffard
Raymon Cartier
Landricus Blanc
Daniel Nee
Michael Laurens
Clamens Crozier
Hugues Gérald
Galois Valluy
Sauvaige De Villiers
Poncellet Montgomery
Larrecin Tremblay
Andreas De Guignes
Aubert Blondeau
Gieffrin Ballesdens
Hennequin Auger
Mathé Gérin
Boniface Dubos
Jaquin Emmanuelli
Bertin Baudet
Milet Blanchet
Oliverus Loup
Nicole Schaeffer
Thibault Jacquemoud
Benoit Bourseiller
Bastien Moineau
Andreas Coulomb
Berthelemy Gaumont
Marcel LaFromboise
Guido Kaplan
Naudin Serre
Domin Lucroy
Guiot Poulin
Almaurry Chagnon
Durant De Saint-Pierre
Henryet Clérico
Felix Lemaître
Colet Caillat
Nicolaus Rousselot
Guerin Cerfbeer
Ancelet Guilloux
Albert Batteux
Poton Hennequin
Martinus Bonnet
Symonnet Vaugeois
Bureau Azéma
Adenet Boffrand
Vivien Caillat
Louys Laurent
Jourdain Vigouroux
Gillebert Bouthillier
Nicolle Trouvé
Gervasius De la Croix
Dreue Bettencourt
Jehanin Maurice
Phillippot Astier
Senestre Jacquemoud
Baudoin Prudhomme
Gobin Naudé
Guillaume Dubost
Audebert Choquet
Perrot Lucroy
Husson Carré
Christofle Lussier
Charlot Jauffret
Raoulin Chéreau
Elyot Courbis
Poncellet Boutet
Berthelemy Mesny
Paquier Pomeroy
Ferricus Lecerf
Gyeffroy Soyer
Richardus Berengar
Phelippon Nee
Gracien Coulomb
Denixost Ouvrard
Arnoullet Girard
Morelet Chaucer
Symonet Bachelot
Johannotus Bullion
Gyeffroy Lacan
Marcelet De la Croix
Dyonisius Ange
Edouart Delon
Ymbelot Philippon
Philippe Jeannin
Philippes Bélanger
Fouet Boutin
Sauvage Bozonnet
Rogier Beaumont
Johannes Aveline
Remonet Pleimelding
Galleren Gueguen
Guillotus Beauchamp
Nicaise Hérisson
Thomassin Deshaies
Thierry Jaccoud
Reginaldus Bachelet
Dyonisius Caillat
Arnould Azéma
Eustace Wathelet
Guibert Fournier
Mathieu Moreau
Louis Delannoy
Nicaise Carré
Climent Lalande
Jodoinus Loup
Felix Derocles
Ernault Ancel
Gieffrin Serre
Baudet Delcroix
Moriset Sardou
Berthelmi Baugé
Huet Suchet
Ethor Rousseau
Denisot Lambert
Jacobus Moineau
Amaury LaRue
Paquier Genest
Henriet Saint-Yves
Luca Dutertre
Ymbelot LaFromboise
Caisin Barbet
Ancelet Bonnot
Albert Cazenave
Enguerrand Rouzet
Symon Lazard
Maciotus Garnier
Michael Valluy
Blanchet Lambert
